freq,am_item,indic_agr,unit,geo\TIME_PERIOD,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
A,AM010000,PRD_BP,MIO_EUR,PL,,,,,,,,,,,,,,,,,,,,,,,,,,2222.8,1891.45,2215.59,2806.43,2426.09,2121.38,3042.46,2530.43,2625.31,4440.06,4570.75,2995.58,3502.86,4717.27,5070.93,4361.35,4107.91,3545.09,3530.89,4031.34,3660.41,4002.15,4658.4,5734.23,8961.28,6768.19,5524.33,5950.78
A,AM010000,PRD_BP,MIO_EUR,PT,,,,,,,,262.85,256.6,318.74,294.5,488.24,482.51,562.08,574.09,469.12,622.34,438.03,570.92,440.42,412.83,526.3,481.49,498.79,482.9,418.15,466.04,423.95,442.19,431.53,396.0,424.04,193.58,228.3,274.55,306.49,227.89,255.76,294.74,332.56,291.57,280.56,277.74,247.77,234.94,240.89,246.19,246.7,319.86,406.13,336.52,323.29,254.61
A,AM010000,PRD_BP,MIO_EUR,RO,,,,,,,,,,,,,,,,,,,,,,,,,,1352.93,1488.78,1513.55,2897.64,1602.77,2094.18,3611.54,1945.01,1637.17,1628.33,3876.69,2042.62,2558.91,4655.2,2807.1,4500.89,3852.86,3316.34,3448.48,4054.52,4877.45,4764.68,3085.16,5630.03,5505.48,4767.87,3247.72,4404.79
A,AM010000,PRD_BP,MIO_EUR,SE,,,570.16,678.12,656.28,666.46,608.76,719.67,933.83,987.45,874.23,1202.59,1011.95,970.46,818.52,763.92,975.21,1088.73,928.67,673.8,617.1,587.36,813.09,946.96,950.53,797.28,744.05,841.23,827.83,817.17,821.56,786.57,452.12,452.91,991.45,676.86,442.91,694.24,791.98,971.59,757.95,800.76,756.03,695.8,755.35,578.01,775.93,834.07,1076.19,1526.04,869.4,859.97,938.72
A,AM010000,PRD_BP,MIO_EUR,SI,,,,,,,,,,,,,,,,,,,,,,,66.74,80.23,71.09,70.9,59.44,78.05,77.38,88.09,70.91,89.45,80.29,80.2,94.64,79.59,54.75,79.59,105.63,109.0,77.3,90.95,87.01,82.79,75.83,85.79,84.75,96.44,132.67,164.96,104.74,111.78,110.42
A,AM010000,PRD_BP,MIO_EUR,SK,,,,,,,,,,,,,,,,,,,,,,,244.08,280.01,320.18,255.13,184.96,169.29,296.26,275.38,260.58,474.21,340.24,334.66,468.7,558.57,366.42,371.81,580.49,594.15,568.01,614.85,568.71,618.38,450.25,575.64,583.05,628.01,763.17,950.22,770.2,652.98,769.68
A,AM010000,PRD_BP,MIO_EUR,UK,1163.81,1559.87,1272.49,1384.42,1744.73,1865.51,2181.72,2827.51,3468.29,4093.8,4018.72,4742.63,4160.52,3630.37,3050.89,3047.04,3352.13,3164.98,3507.08,3523.92,3467.04,3426.71,3963.55,4415.12,4198.97,3699.25,3530.21,3827.3,3186.44,3585.96,3205.54,3560.91,2097.7,2210.35,2847.9,3994.14,2595.5,2642.79,3721.82,3947.35,3962.17,4265.67,3929.88,3041.62,3524.67,3675.3,4177.58,3185.83,,,,,
A,AM010000,PRD_BP,MIO_NAC,AT,,,,,,,,,,,,,,,,,,,,,,,959.11,889.47,842.79,759.53,721.19,725.51,760.36,724.85,734.4,724.29,405.66,478.96,871.01,655.8,478.35,800.93,906.72,1029.21,717.58,764.27,728.38,749.33,754.06,776.48,801.97,834.97,1149.73,1530.36,961.3,942.23,1059.78
A,AM010000,PRD_BP,MIO_NAC,BE,,,,,,,,302.07,324.53,402.96,411.59,475.95,396.29,421.74,347.23,388.38,383.68,331.36,332.51,303.74,313.79,311.73,340.72,364.24,330.84,328.3,309.95,325.09,313.96,304.24,355.19,365.57,238.16,309.24,436.5,337.88,305.29,524.17,465.34,606.09,513.17,451.63,453.76,305.91,376.77,417.79,435.9,490.13,680.8,823.83,581.59,416.62,476.51
A,AM010000,PRD_BP,MIO_NAC,BG,,,,,,,,,,,,,,,,,,,,,,,19.15,38.74,755.13,365.48,367.49,393.2,506.62,506.91,460.0,634.02,472.19,452.02,446.37,1025.42,675.65,842.82,1196.06,1311.49,1258.57,1330.84,1228.73,1199.37,1246.43,1443.72,1499.8,1333.72,2264.71,2804.67,2098.37,1744.27,1762.57
